Stn_Name,Tm,Tx,Tn,S,P,CDD,Year,Month,Fires_Ontario_Total
ST. ALBERT,19.4,29.5,6.0,0.0,78.2,60.1,2000,July,117.0
PETAWAWA HOFFMAN,18.7,29.0,6.0,0.0,149.1,40.3,2000,July,117.0
ALLISTON NELSON,19.3,29.0,7.5,0.0,124.6,55.6,2000,July,117.0
BARRIE (AUT),17.9,27.0,7.1,,57.2,32.2,2000,July,117.0
BARRIE WPCC,19.6,30.0,9.0,0.0,53.8,63.4,2000,July,117.0
BEATRICE 2,16.7,29.0,3.0,0.0,109.6,21.4,2000,July,117.0
BEAUSOLEIL,19.0,29.3,9.2,,97.0,55.5,2000,July,117.0
BRITT (AUT),18.8,29.8,5.7,,64.4,22.3,2000,July,117.0
CHATSWORTH,17.5,29.0,4.0,0.0,129.6,35.5,2000,July,117.0
COLDWATER WARMINSTER,18.4,27.5,9.0,0.0,129.4,28.6,2000,July,117.0
COLLINGWOOD,18.7,29.1,9.7,,136.0,51.1,2000,July,117.0
COOKSTOWN,17.6,27.0,5.0,0.0,82.5,27.5,2000,July,117.0
DORSET MOE,17.3,28.5,4.5,0.0,178.3,25.9,2000,July,117.0
DUNCHURCH,17.3,29.5,3.5,0.0,77.8,27.8,2000,July,117.0
DURHAM,18.4,28.5,7.0,0.0,111.7,38.6,2000,July,117.0
ESSA ONT HYDRO,18.8,29.0,6.0,0.0,94.2,49.4,2000,July,117.0
HANOVER,17.9,28.0,5.5,0.0,171.3,37.8,2000,July,117.0
HONEY HBR BEAUSOLEIL,19.2,29.3,9.2,,96.8,55.5,2000,July,117.0
HUNTSVILLE WPCP,17.2,29.0,6.0,0.0,103.2,17.4,2000,July,117.0
LAGOON CITY,18.7,27.2,9.9,,63.4,41.7,2000,July,117.0
MIDLAND WATER POLLUTION CONTROL PLANT,19.2,28.0,10.0,0.0,119.5,51.8,2000,July,117.0
MIDLAND HURONIA A,18.3,29.0,7.0,0.0,123.8,37.5,2000,July,117.0
MOONSTONE,18.1,28.5,5.5,0.0,86.2,36.9,2000,July,117.0
MUSKOKA A,17.5,28.5,5.9,0.0,200.0,28.2,2000,July,117.0
ORILLIA BRAIN,18.7,28.0,9.0,0.0,72.4,44.6,2000,July,117.0
OWEN SOUND MOE,18.7,28.0,8.5,0.0,46.7,48.6,2000,July,117.0
PORT LAW,16.5,26.0,3.5,0.0,125.4,18.6,2000,July,117.0
POWASSAN,16.7,28.5,3.5,0.0,127.4,20.7,2000,July,117.0
PRICEVILLE,,,,0.0,65.6,,2000,July,117.0
PROTON STATION,16.4,26.0,3.5,0.0,82.0,15.9,2000,July,117.0
ROCKLYN,17.4,27.5,5.0,0.0,64.6,21.9,2000,July,117.0
SHANTY BAY,18.5,27.5,6.5,0.0,54.4,41.6,2000,July,117.0
TROUT CREEK,,,,0.0,124.8,,2000,July,117.0
UDORA,18.2,27.5,6.0,0.0,46.6,33.7,2000,July,117.0
WALTERS FALLS,18.2,28.0,6.5,0.0,120.0,36.0,2000,July,117.0
WIARTON A,17.4,26.7,6.4,0.0,49.2,28.7,2000,July,117.0
WILDER LAKE,17.6,27.0,4.5,0.0,133.4,33.7,2000,July,117.0
WESTERN ISLAND (AUT),18.4,24.9,13.0,,,23.5,2000,July,117.0
THORNBURY SLAMA,17.6,28.0,7.0,0.0,101.2,28.1,2000,July,117.0
EGBERT CARE,18.2,27.0,7.0,0.0,104.9,38.2,2000,July,117.0
GRAVENHURST BEAVER CREEK,18.0,29.5,5.5,0.0,175.7,36.4,2000,July,117.0
BLYTH,17.8,28.5,6.5,0.0,120.5,42.2,2000,July,117.0
CYPRUS LAKE CS,17.3,28.3,4.4,,68.6,25.1,2000,July,117.0
DASHWOOD,19.2,28.0,8.5,0.0,248.2,53.2,2000,July,117.0
COVE ISLAND (AUT),17.7,24.9,12.6,,0.0,21.9,2000,July,117.0
EXETER,19.0,28.5,8.0,0.0,267.2,52.6,2000,July,117.0
GODERICH,18.3,27.9,7.2,,98.4,42.7,2000,July,117.0
NAIRN,18.9,29.5,6.0,0.0,137.9,46.9,2000,July,117.0
KINCARDINE,18.0,28.0,5.5,0.0,92.0,39.7,2000,July,117.0
PETROLIA TOWN,19.1,30.0,7.0,0.0,124.4,53.1,2000,July,117.0
PORT ELGIN,18.8,29.0,7.5,0.0,45.4,51.1,2000,July,117.0
SARNIA AIRPORT,18.9,30.2,8.4,0.0,99.2,52.0,2000,July,117.0
TARA,18.4,30.0,6.0,0.0,17.0,43.2,2000,July,117.0
WROXETER,,,,0.0,89.4,,2000,July,117.0
THEDFORD,18.9,30.0,7.5,0.0,96.6,47.7,2000,July,117.0
AMHERSTBURG,21.4,31.0,11.5,0.0,69.0,105.8,2000,July,117.0
AYLMER,19.9,28.0,10.0,0.0,104.4,66.5,2000,July,117.0
AYLMER ONT HYDRO,,,,0.0,112.0,,2000,July,117.0
BELLE RIVER,21.7,32.1,13.1,,,114.6,2000,July,117.0
CHATHAM WPCP,20.8,29.5,11.0,0.0,99.9,90.6,2000,July,117.0
DELHI CS,19.6,29.3,7.9,,138.0,61.7,2000,July,117.0
FORT ERIE,19.8,31.0,8.5,0.0,100.3,67.9,2000,July,117.0
HAGERSVILLE,19.3,28.0,9.0,0.0,164.1,54.1,2000,July,117.0
HARROW CDA AUTO,21.7,26.3,17.0,,0.0,3.7,2000,July,117.0
KINGSVILLE MOE,21.5,29.5,13.0,0.0,148.2,106.8,2000,July,117.0
LONG POINT (AUT),20.5,25.7,14.8,,,63.2,2000,July,117.0
NEW GLASGOW,19.5,28.0,8.0,0.0,156.0,59.9,2000,July,117.0
PORT COLBORNE,20.6,29.0,10.0,0.0,74.0,89.0,2000,July,117.0
PORT WELLER (AUT),20.7,26.9,15.4,,36.4,83.7,2000,July,117.0
RIDGETOWN AUTOMATIC CLIMATE STATION,19.7,28.4,7.2,,137.8,66.7,2000,July,117.0
RIDGEVILLE,19.9,27.5,11.0,0.0,80.9,65.5,2000,July,117.0
ST CATHARINES A,20.1,28.8,10.2,0.0,61.8,68.7,2000,July,117.0
ST CATHARINES POWER GLEN,19.9,29.0,9.0,0.0,46.6,62.5,2000,July,117.0
ST THOMAS WPCP,19.4,28.5,8.5,0.0,134.6,56.4,2000,July,117.0
SMITHVILLE,19.8,28.0,9.0,0.0,87.2,62.2,2000,July,117.0
SOUTHEAST SHOAL (AUT),21.1,26.5,16.4,,,91.9,2000,July,117.0
THOROLD,20.5,30.5,10.5,0.0,68.0,81.7,2000,July,117.0
TILLSONBURG NORTH,19.7,29.0,8.5,0.0,150.4,61.8,2000,July,117.0
TILLSONBURG MOE,,,,0.0,141.5,,2000,July,117.0
VINELAND,20.6,29.5,12.5,0.0,78.2,82.7,2000,July,117.0
VINELAND RITTENHOUSE,20.3,28.5,11.5,0.0,78.8,72.9,2000,July,117.0
WATERFORD,,,,0.0,135.2,,2000,July,117.0
WELLAND,20.0,29.5,9.0,0.0,102.4,70.4,2000,July,117.0
WINDSOR RIVERSIDE,21.7,31.5,11.0,0.0,98.0,113.7,2000,July,117.0
WINDSOR A,21.1,31.0,12.6,0.0,75.2,97.1,2000,July,117.0
WOODSLEE CDA AUTOMATIC CLIMATE STATION,21.2,30.0,11.4,,136.0,100.1,2000,July,117.0
HARROW AUTOMATIC CLIMATE STATION,21.0,29.6,11.3,,85.6,93.9,2000,July,117.0
PORT COLBORNE (AUT),19.8,26.0,13.1,,,62.0,2000,July,117.0
ERIEAU (AUT),20.3,24.7,14.6,,,70.7,2000,July,117.0
BRANTFORD MOE,19.8,28.0,8.5,0.0,93.8,63.9,2000,July,117.0
CAMBRIDGE-STEWART,,,,0.0,105.5,,2000,July,117.0
CULLODEN EASEY,19.0,28.0,9.0,0.0,166.4,50.5,2000,July,117.0
DORCHESTER,,,,0.0,140.9,,2000,July,117.0
EMBRO INNES,,,,0.0,186.4,,2000,July,117.0
FERGUS SHAND DAM,18.4,27.0,8.5,0.0,93.8,36.9,2000,July,117.0
FERGUS MOE,18.2,27.5,7.0,0.0,105.5,34.8,2000,July,117.0
FOLDENS,19.3,29.0,9.0,0.0,186.8,54.8,2000,July,117.0
GLEN ALLAN,18.0,26.5,7.0,0.0,148.4,32.1,2000,July,117.0
GUELPH TURFGRASS CS,17.7,26.3,5.9,,103.6,25.8,2000,July,117.0
ILDERTON BEAR CREEK,19.5,28.5,7.5,0.0,112.8,60.3,2000,July,117.0
LONDON INT'L AIRPORT,19.2,28.1,8.6,0.0,125.5,52.8,2000,July,117.0
LONDON NW,19.2,29.0,6.0,0.0,105.0,58.2,2000,July,117.0
MOUNT FOREST,17.6,27.0,5.5,0.0,143.6,31.1,2000,July,117.0
MOUNT FOREST (AUT),17.1,25.3,5.8,,148.6,22.6,2000,July,117.0
ROSEVILLE,18.9,27.5,7.0,0.0,114.1,45.7,2000,July,117.0
RUSKVIEW,17.8,26.0,8.0,0.0,148.2,29.5,2000,July,117.0
SALEM,18.2,27.0,7.5,0.0,97.3,34.8,2000,July,117.0
SCOTLAND,,,,0.0,107.8,,2000,July,117.0
STRATFORD MOE,18.9,29.0,7.0,0.0,168.5,50.7,2000,July,117.0
STRATHROY-MULLIFARRY,19.4,29.0,7.5,0.0,102.4,58.5,2000,July,117.0
WATERLOO WPCP,,,,0.0,109.8,,2000,July,117.0
WATERLOO WELLINGTON A,18.8,28.0,7.7,0.0,98.0,44.8,2000,July,117.0
WOODSTOCK,19.3,28.5,8.0,0.0,187.8,56.1,2000,July,117.0
ELORA AUTOMATIC CLIMATE STATION,18.1,27.4,6.0,,108.4,33.9,2000,July,117.0
NILESTOWN,19.0,27.5,7.0,0.0,140.8,50.7,2000,July,117.0
ALBERTON,19.7,28.5,8.0,0.0,158.5,61.7,2000,July,117.0
ALBION,,,,0.0,78.4,,2000,July,117.0
ALBION FIELD CENTRE,18.0,27.0,6.0,0.0,68.9,29.5,2000,July,117.0
BELLEVILLE,20.3,28.5,11.0,0.0,110.0,73.5,2000,July,117.0
BLOOMFIELD,,,,0.0,114.8,,2000,July,117.0
BOWMANVILLE MOSTERT,18.9,27.0,7.0,0.0,58.4,42.5,2000,July,117.0
BURKETON MCLAUGHLIN,18.5,26.0,9.0,0.0,81.6,33.7,2000,July,117.0
BURLINGTON PIERS (AUT),20.0,27.6,13.4,,,64.9,2000,July,117.0
CALEDON NORTH,19.0,27.0,8.0,0.0,109.6,32.1,2000,July,117.0
CAMBORNE,19.0,27.0,9.0,0.0,52.2,41.7,2000,July,117.0
CENTREVILLE,19.3,29.0,8.0,0.0,91.0,50.7,2000,July,117.0
COBOURG (AUT),18.5,25.5,11.9,,47.2,30.2,2000,July,117.0
COBOURG STP,18.4,26.0,10.0,0.0,47.8,30.5,2000,July,117.0
CRESSY,19.5,27.0,12.0,0.0,117.8,53.3,2000,July,117.0
FRENCHMANS BAY,,,,0.0,119.0,,2000,July,117.0
GEORGETOWN WWTP,17.9,28.0,5.5,0.0,73.5,30.9,2000,July,117.0
GLEN HAFFY MONO MILLS,,,,0.0,124.2,,2000,July,117.0
HAMILTON A,19.5,27.8,8.8,0.0,81.0,57.7,2000,July,117.0
HAMILTON RBG CS,19.6,28.4,8.3,,87.2,58.9,2000,July,117.0
HORNBY TRAFALGAR TS,,,,0.0,35.9,,2000,July,117.0
JANETVILLE,18.7,29.0,6.5,0.0,51.2,43.7,2000,July,117.0
KALADAR,18.7,28.0,8.0,0.0,104.4,37.9,2000,July,117.0
KING SMOKE TREE,18.7,26.5,8.5,0.0,93.4,40.8,2000,July,117.0
MADOC,18.9,28.5,8.5,0.0,71.0,41.2,2000,July,117.0
MILLGROVE,19.5,28.5,7.5,0.0,114.2,58.9,2000,July,117.0
ORANGEVILLE MOE,17.6,27.0,5.0,0.0,91.2,26.3,2000,July,117.0
OSHAWA WPCP,19.1,27.0,10.0,0.0,69.7,44.6,2000,July,117.0
OAKVILLE GERARD,20.5,30.0,9.5,0.0,49.3,81.7,2000,July,117.0
POINT PETRE (AUT),18.5,25.4,10.1,,79.4,33.3,2000,July,117.0
PONTYPOOL,18.2,27.0,7.0,0.0,51.2,31.9,2000,July,117.0
RICHMOND HILL,19.6,28.0,9.0,0.0,102.0,60.4,2000,July,117.0
SANDHILL,,,,0.0,128.0,,2000,July,117.0
STIRLING,,,,0.0,71.2,,2000,July,117.0
THORNHILL GRANDVIEW,,,,0.0,117.0,,2000,July,117.0
TORONTO,20.9,28.2,12.2,0.0,42.0,90.8,2000,July,117.0
TORONTO ISLAND A,19.7,26.7,11.1,,34.0,54.7,2000,July,117.0
TORONTO LESTER B. PEARSON INT'L A,20.1,28.6,9.9,0.0,33.8,71.8,2000,July,117.0
TRENTON A,19.1,28.1,8.3,0.0,118.0,46.8,2000,July,117.0
WARKWORTH,,,,0.0,72.5,,2000,July,117.0
WOODBRIDGE,19.5,29.0,8.0,0.0,92.0,51.3,2000,July,117.0
WOOLER,18.7,27.0,5.5,0.0,72.4,42.4,2000,July,117.0
MOUNTAINVIEW,20.2,28.0,10.0,0.0,122.2,30.9,2000,July,117.0
TORONTO BUTTONVILLE A,19.5,29.9,8.8,0.0,126.4,54.5,2000,July,117.0
NEWMARKET 3,,,,0.0,104.4,,2000,July,117.0
OAKVILLE SOUTHEAST WPCP,20.0,29.0,9.0,0.0,40.4,66.7,2000,July,117.0
NAPANEE,19.2,28.5,8.0,0.0,102.2,50.6,2000,July,117.0
TORONTO NORTH YORK,19.6,28.5,8.0,0.0,121.8,58.5,2000,July,117.0
BOLTON NORTH,18.5,28.0,7.0,0.0,119.4,38.2,2000,July,117.0
HALIBURTON 3,17.1,28.0,5.0,0.0,57.2,20.4,2000,July,117.0
LINDSAY FROST,18.0,27.0,7.0,0.0,64.4,29.4,2000,July,117.0
MINDEN,18.2,30.0,5.0,0.0,46.4,30.4,2000,July,117.0
NORWOOD,18.2,28.0,6.0,0.0,56.8,32.2,2000,July,117.0
PETERBOROUGH A,18.0,27.3,6.7,0.0,74.4,26.8,2000,July,117.0
PETERBOROUGH TRENT U,19.2,29.5,7.5,0.0,50.6,47.7,2000,July,117.0
WOODVILLE,19.4,27.5,10.0,0.0,53.4,31.1,2000,July,117.0
BANCROFT AUTO,16.5,27.6,3.3,,148.4,17.4,2000,July,117.0
WARSAW,,,,0.0,85.4,,2000,July,117.0
BIG TROUT LAKE A,13.6,28.1,0.0,,56.2,14.1,2014,June,73.0
BIG TROUT LAKE,13.7,28.3,-0.4,,63.3,13.6,2014,June,73.0
EAR FALLS (AUT),15.3,28.1,1.4,,120.2,13.7,2014,June,73.0
FORT SEVERN A,11.2,34.7,-1.5,,38.9,20.3,2014,June,73.0
LANSDOWNE HOUSE (AUT),14.8,28.7,0.6,,75.0,14.9,2014,June,73.0
MUSKRAT DAM,14.7,28.6,1.2,,64.1,14.5,2014,June,73.0
PEAWANUCK (AUT),13.0,34.1,-2.7,,22.5,26.4,2014,June,73.0
PICKLE LAKE (AUT),15.1,29.9,5.0,,136.1,15.1,2014,June,73.0
PICKLE LAKE A,15.2,29.6,5.0,,,17.4,2014,June,73.0
RED LAKE A,15.3,27.7,2.2,,,14.4,2014,June,73.0
SANDY LAKE A,14.7,28.8,1.8,,46.2,15.9,2014,June,73.0
BARWICK,16.1,28.0,2.0,0.0,184.2,8.8,2014,June,73.0
ATIKOKAN (AUT),15.9,29.3,3.1,,160.3,15.7,2014,June,73.0
FORT FRANCES RCS,16.3,28.6,1.5,,231.1,18.6,2014,June,73.0
MINE CENTRE SOUTHWEST,16.5,29.0,2.0,0.0,194.1,13.4,2014,June,73.0
DRYDEN REGIONAL,16.2,28.7,3.7,,145.2,17.7,2014,June,73.0
KENORA RCS,16.6,27.0,6.9,,136.6,19.6,2014,June,73.0
KENORA A,16.5,27.0,6.9,0.0,159.2,17.0,2014,June,73.0
RAWSON LAKE,16.4,26.5,4.0,0.0,137.1,14.2,2014,June,73.0
SIOUX LOOKOUT A,14.9,29.0,1.6,0.0,206.0,14.5,2014,June,73.0
ARMSTRONG (AUT),13.4,26.8,-0.5,,154.6,4.4,2014,June,73.0
CAMERON FALLS (AUT),13.4,28.5,2.1,,113.0,2.2,2014,June,73.0
CARIBOU ISLAND (AUT),8.7,18.2,2.9,,,0.0,2014,June,73.0
GERALDTON A,14.5,27.4,1.6,0.0,164.6,9.2,2014,June,73.0
PUKASKWA (AUT),13.5,28.0,2.2,,100.3,5.7,2014,June,73.0
THUNDER BAY,13.7,29.6,2.3,,119.5,6.6,2014,June,73.0
THUNDER BAY BURWOOD,13.9,27.0,1.0,0.0,51.0,4.1,2014,June,73.0
THUNDER BAY CS,13.7,28.9,0.9,,106.7,6.0,2014,June,73.0
UPSALA (AUT),14.7,28.3,1.3,,142.0,11.5,2014,June,73.0
WELCOME ISLAND (AUT),11.7,20.4,5.6,,,0.0,2014,June,73.0
LITTLE FLATLAND ISLAND (AUT),11.2,25.8,3.3,,145.7,1.0,2014,June,73.0
LAKE SUPERIOR PROVINCIAL PARK,15.2,28.8,1.8,,70.1,11.6,2014,June,73.0
SAULT STE MARIE A,15.2,28.8,1.3,0.0,81.4,12.0,2014,June,73.0
WAWA A,14.5,29.2,0.5,0.0,71.8,8.0,2014,June,73.0
KILLARNEY (AUT),16.3,24.5,8.9,,,8.8,2014,June,73.0
CHAPLEAU A,16.3,30.5,2.4,0.0,73.4,20.9,2014,June,73.0
MASSEY,17.3,29.5,3.5,0.0,49.0,17.5,2014,June,73.0
SUDBURY CLIMATE,17.1,30.3,5.8,,48.5,20.8,2014,June,73.0
SUDBURY A,17.1,29.6,6.6,0.0,61.1,20.8,2014,June,73.0
BONNER LAKE,16.1,31.5,-0.5,0.0,28.1,21.0,2014,June,73.0
EARLTON A,16.1,31.5,4.0,,51.1,15.8,2014,June,73.0
EARLTON CLIMATE,16.1,31.7,4.1,,49.8,15.0,2014,June,73.0
KAPUSKASING A,15.9,31.2,-0.9,0.0,86.8,25.2,2014,June,73.0
KAPUSKASING CDA ON,15.8,30.4,-0.4,,63.0,24.1,2014,June,73.0
KIRKLAND LAKE CS,16.2,30.1,3.5,,57.7,18.8,2014,June,73.0
MOOSONEE,13.5,33.2,-1.3,,94.7,30.1,2014,June,73.0
MOOSONEE UA,13.9,34.0,-1.0,0.0,120.2,29.7,2014,June,73.0
MOOSONEE RCS,13.9,33.3,-0.7,,130.7,30.6,2014,June,73.0
NAGAGAMI (AUT),14.6,30.3,-0.3,,100.1,14.0,2014,June,73.0
TIMMINS CLIMATE,15.7,31.6,-0.8,,68.6,21.4,2014,June,73.0
TIMMINS A,15.7,31.7,-0.9,,,21.3,2014,June,73.0
ALGONQUIN PARK EAST GATE,16.3,31.1,3.8,,89.4,14.9,2014,June,73.0
NORTH BAY A,17.0,30.6,4.6,,,24.1,2014,June,73.0
GORE BAY CLIMATE,16.6,26.9,5.7,,37.1,10.7,2014,June,73.0
GREAT DUCK ISLAND (AUT),13.1,24.6,5.0,,,0.0,2014,June,73.0
SANDFIELD,16.6,28.0,5.0,0.0,41.2,15.9,2014,June,73.0
APPLETON,19.0,30.0,7.0,0.0,143.6,55.5,2014,June,73.0
BROCKVILLE CLIMATE,18.7,29.9,6.9,,98.9,43.7,2014,June,73.0
BROCKVILLE PCC,18.5,27.0,8.5,0.0,83.0,39.3,2014,June,73.0
CHALK RIVER AECL,19.2,31.5,9.5,0.0,97.8,39.7,2014,June,73.0
CORNWALL,19.8,31.5,9.0,0.0,134.3,62.9,2014,June,73.0
DRUMMOND CENTRE,18.8,30.5,6.5,0.0,148.0,48.2,2014,June,73.0
HARTINGTON IHD,18.7,28.5,8.0,0.0,151.8,47.4,2014,June,73.0
KEMPTVILLE CS,17.9,29.2,6.2,,11.0,22.9,2014,June,73.0
KINGSTON CLIMATE,17.7,27.4,7.3,,93.2,29.4,2014,June,73.0
LYNDHURST SHAWMERE,19.5,30.0,9.0,0.0,90.6,57.6,2014,June,73.0
OTTAWA CDA,19.6,30.1,9.0,0.0,156.2,62.2,2014,June,73.0
OTTAWA CDA RCS,18.6,29.9,8.9,,58.2,27.3,2014,June,73.0
OTTAWA INTL A,19.2,30.7,6.3,0.0,131.0,54.9,2014,June,73.0
PEMBROKE CLIMATE,17.9,31.3,5.8,,57.5,29.0,2014,June,73.0
PETAWAWA AWOS 2,18.1,31.7,5.9,,52.0,32.3,2014,June,73.0
ST. ALBERT,19.3,30.0,7.0,0.0,134.0,56.2,2014,June,73.0
PETAWAWA HOFFMAN,19.1,31.5,7.5,0.0,102.2,55.1,2014,June,73.0
BALACLAVA,,,,0.0,92.0,,2014,June,73.0
BALDWIN,18.3,30.5,4.5,0.0,63.4,40.6,2014,June,73.0
BARRIE LANDFILL,18.6,30.0,7.0,0.0,79.3,22.6,2014,June,73.0
BEATRICE CLIMATE,17.0,29.3,3.5,,163.1,16.7,2014,June,73.0
COLDWATER WARMINSTER,18.8,29.5,8.0,0.0,117.8,35.7,2014,June,73.0
COLLINGWOOD,17.5,31.5,6.2,,41.4,41.5,2014,June,73.0
LAGOON CITY,18.1,29.3,8.7,,,31.7,2014,June,73.0
MARKDALE,17.5,29.0,0.0,0.0,128.7,33.0,2014,June,73.0
MIDLAND WATER POLLUTION CONTROL PLANT,20.7,30.0,12.0,0.0,87.5,35.1,2014,June,73.0
MUSKOKA,17.2,30.1,4.1,,133.7,20.2,2014,June,73.0
NIPISSING,,,,0.0,116.6,,2014,June,73.0
PARRY SOUND CCG,18.3,30.0,8.2,,98.2,39.0,2014,June,73.0
RAVENSCLIFFE,18.0,30.5,4.5,0.0,190.8,31.9,2014,June,73.0
SHANTY BAY,18.3,30.5,6.0,0.0,134.8,39.4,2014,June,73.0
BARRIE-ORO,17.3,29.3,4.8,,124.1,25.3,2014,June,73.0
SPRUCEDALE,,,,0.0,159.8,,2014,June,73.0
THORNBURY 3,,,,0.0,102.7,,2014,June,73.0
UDORA,19.1,29.5,6.5,0.0,54.5,54.1,2014,June,73.0
WIARTON A,16.7,30.9,5.1,0.0,80.0,27.0,2014,June,73.0
BORDEN AWOS,17.4,31.7,0.3,,84.5,33.3,2014,June,73.0
EGBERT CS,17.6,29.2,4.5,,123.9,31.8,2014,June,73.0
COVE ISLAND (AUT),14.0,25.5,6.5,,,4.0,2014,June,73.0
GODERICH,18.3,29.3,6.8,,64.2,44.4,2014,June,73.0
KINCARDINE,18.3,31.0,6.0,0.0,88.8,41.2,2014,June,73.0
PETROLIA ROKEBY,20.1,33.0,5.0,0.0,84.0,82.9,2014,June,73.0
SARNIA,18.5,32.5,6.5,,33.8,50.3,2014,June,73.0
SARNIA CLIMATE,18.7,32.7,6.1,,30.3,60.5,2014,June,73.0
TOBERMORY RCS,15.0,27.2,4.7,,59.7,6.4,2014,June,73.0
WROXETER,,,,0.0,99.9,,2014,June,73.0
AMHERSTBURG,21.7,32.0,10.5,0.0,36.4,42.2,2014,June,73.0
CHATHAM WPCP,21.8,33.0,9.0,0.0,53.3,42.3,2014,June,73.0
DELHI CS,19.1,31.4,4.4,,33.3,61.6,2014,June,73.0
FORT ERIE,19.7,30.5,6.5,0.0,79.9,60.9,2014,June,73.0
GRIMSBY MOUNTAIN,20.0,31.3,9.3,0.0,68.1,72.8,2014,June,73.0
HARROW CDA AUTO,20.5,31.7,8.5,,,81.6,2014,June,73.0
KINGSVILLE MOE,21.2,31.0,9.5,0.0,86.8,102.4,2014,June,73.0
LONG POINT (AUT),19.1,26.9,11.3,,,50.6,2014,June,73.0
NEW GLASGOW,19.4,30.0,7.0,0.0,73.0,65.0,2014,June,73.0
PORT COLBORNE,20.8,31.0,9.0,0.0,61.6,77.0,2014,June,73.0
PORT WELLER (AUT),18.4,29.8,10.6,,97.7,39.1,2014,June,73.0
RAINHAM CENTURY FARM,18.3,28.0,7.0,0.0,49.8,40.6,2014,June,73.0
RIDGETOWN RCS,19.8,32.7,5.9,,48.0,73.9,2014,June,73.0
ST THOMAS WPCP,20.3,30.5,7.0,0.0,63.8,54.2,2014,June,73.0
SOUTHEAST SHOAL (AUT),19.3,27.3,13.8,,,18.4,2014,June,73.0
TILLSONBURG NORTH,20.2,31.0,7.0,0.0,81.9,80.3,2014,June,73.0
TILLSONBURG WWTP,,,,0.0,78.7,,2014,June,73.0
VINELAND STATION RCS,18.3,31.0,7.2,,56.1,40.6,2014,June,73.0
WELLAND,19.3,32.0,7.0,0.0,27.1,35.3,2014,June,73.0
WELLAND-PELHAM,19.5,30.8,7.0,,44.8,62.8,2014,June,73.0
WINDSOR RIVERSIDE,22.0,34.0,8.5,0.0,98.8,123.3,2014,June,73.0
WINDSOR A,21.4,32.4,10.2,0.0,111.4,105.5,2014,June,73.0
PORT COLBORNE (AUT),19.5,28.2,10.4,,,37.0,2014,June,73.0
ERIEAU (AUT),19.5,28.7,10.9,,,60.1,2014,June,73.0
POINT PELEE CS,20.2,30.0,8.2,,,76.1,2014,June,73.0
DORCHESTER,,,,0.0,97.4,,2014,June,73.0
ELORA RCS,18.2,29.4,6.0,,68.8,37.5,2014,June,73.0
FERGUS SHAND DAM,18.8,29.5,7.5,0.0,66.2,46.3,2014,June,73.0
FERGUS MOE,18.5,30.0,5.0,0.0,71.0,44.1,2014,June,73.0
FOLDENS,19.8,30.0,8.0,0.0,71.6,67.7,2014,June,73.0
GUELPH TURFGRASS,17.8,29.6,5.2,,,36.0,2014,June,73.0
JAMESTOWN,,,,0.0,92.3,,2014,June,73.0
KITCHENER/WATERLOO,18.2,31.1,4.5,,46.7,44.3,2014,June,73.0
LONDON A,19.5,31.8,7.1,,,66.5,2014,June,73.0
LONDON CS,19.7,31.2,8.0,,96.2,71.9,2014,June,73.0
MOUNT FOREST (AUT),18.3,28.7,5.7,,84.9,44.0,2014,June,73.0
ROSEVILLE,19.4,30.0,7.5,0.0,59.6,61.5,2014,June,73.0
STRATFORD WWTP,19.8,31.0,7.0,0.0,38.9,38.7,2014,June,73.0
STRATHROY-MULLIFARRY,20.2,32.5,6.0,0.0,55.6,84.3,2014,June,73.0
WOODSTOCK,21.1,30.0,8.5,0.0,35.7,47.7,2014,June,73.0
BELLEVILLE,18.8,29.5,6.5,0.0,131.4,39.2,2014,June,73.0
BLACKSTOCK,18.4,29.0,7.0,0.0,95.7,44.5,2014,June,73.0
BURLINGTON PIERS (AUT),18.5,30.8,10.7,,,46.6,2014,June,73.0
CENTREVILLE,19.0,28.5,6.0,0.0,187.2,47.9,2014,June,73.0
COBOURG (AUT),16.4,25.0,7.0,,90.5,17.5,2014,June,73.0
GEORGETOWN WWTP,19.5,30.5,7.0,0.0,53.4,32.5,2014,June,73.0
HAMILTON A,19.1,30.3,7.5,0.0,73.2,54.0,2014,June,73.0
HAMILTON RBG CS,18.2,30.9,6.1,,70.0,42.3,2014,June,73.0
KALADAR,18.8,30.0,7.0,0.0,123.7,47.8,2014,June,73.0
OAKVILLE TWN,20.0,31.5,9.5,0.0,64.7,72.6,2014,June,73.0
ORANGEVILLE MOE,17.8,29.5,3.0,0.0,70.7,37.5,2014,June,73.0
OSHAWA,18.1,28.6,6.8,,91.7,38.3,2014,June,73.0
OSHAWA WPCP,18.4,27.5,8.0,0.0,101.4,40.1,2014,June,73.0
POINT PETRE (AUT),15.6,26.6,5.4,,52.5,16.3,2014,June,73.0
MONO CENTRE,17.9,27.9,7.0,,90.4,34.8,2014,June,73.0
TORONTO CITY,20.3,29.8,11.6,,95.6,75.4,2014,June,73.0
TORONTO CITY CENTRE,18.5,28.5,9.8,,88.1,36.9,2014,June,73.0
TORONTO INTL A,19.8,31.4,9.4,0.0,97.0,68.1,2014,June,73.0
TORONTO EAST YORK DUSTAN,20.2,31.0,9.5,0.0,146.1,75.4,2014,June,73.0
TRENTON A,18.7,30.1,6.4,0.0,136.2,47.8,2014,June,73.0
UXBRIDGE WEST,17.7,27.7,4.5,,110.7,34.7,2014,June,73.0
