Stn_Name,Tm,Tx,Tn,S,P,CDD,Year,Weather_Month,Fire_Month,Fires_Ontario_Total
FOLDENS,22.3,33.0,7.5,0.0,168.9,136.4,2010,July,August,80
GLEN ALLAN,21.7,32.5,8.0,0.0,131.0,120.3,2010,July,August,80
GUELPH TURFGRASS,20.3,28.8,8.0,,,43.2,2010,July,August,80
JAMESTOWN,,,,0.0,218.6,,2010,July,August,80
KITCHENER/WATERLOO,21.2,33.5,5.8,,129.3,100.6,2010,July,August,80
LONDON CS,22.0,34.0,7.2,,109.9,129.7,2010,July,August,80
MOUNT FOREST (AUT),20.5,31.2,6.1,,197.8,89.7,2010,July,August,80
ROSEVILLE,21.8,33.5,7.0,0.0,121.4,126.3,2010,July,August,80
SCOTLAND,21.5,35.5,4.5,0.0,126.8,117.6,2010,July,August,80
STRATFORD MOE,22.1,34.5,6.0,0.0,91.7,91.0,2010,July,August,80
STRATHROY-MULLIFARRY,22.6,35.5,7.0,0.0,101.4,148.4,2010,July,August,80
REGION OF WATERLOO INT'L AIRPORT,21.2,33.5,5.8,,129.3,100.6,2010,July,August,80
WOODSTOCK,21.2,34.5,7.0,0.0,208.4,72.3,2010,July,August,80
BLACKSTOCK,21.8,32.5,7.5,0.0,100.3,127.2,2010,July,August,80
BLOOMFIELD,,,,0.0,74.8,,2010,July,August,80
BURLINGTON PIERS (AUT),23.3,33.5,12.9,,,154.9,2010,July,August,80
CENTREVILLE,22.2,33.0,10.0,0.0,78.6,114.3,2010,July,August,80
COBOURG (AUT),20.7,28.8,9.3,,63.1,90.2,2010,July,August,80
COBOURG STP,22.3,30.5,15.0,0.0,40.2,65.1,2010,July,August,80
GEORGETOWN WWTP,21.0,30.0,6.0,0.0,0.8,38.8,2010,July,August,80
HAMILTON A,21.7,33.9,7.3,0.0,129.6,121.6,2010,July,August,80
HAMILTON RBG CS,22.6,34.5,8.1,,118.9,145.0,2010,July,August,80
KALADAR,22.2,34.0,9.0,0.0,95.8,133.9,2010,July,August,80
OAKVILLE TWN,23.4,35.0,9.5,0.0,80.1,168.7,2010,July,August,80
ORANGEVILLE MOE,20.6,33.0,2.5,0.0,125.2,82.3,2010,July,August,80
OSHAWA,21.7,32.7,8.9,,105.6,115.4,2010,July,August,80
OSHAWA WPCP,21.9,31.0,10.0,0.0,94.9,124.0,2010,July,August,80
POINT PETRE (AUT),21.4,29.4,11.6,,67.7,111.9,2010,July,August,80
RICHMOND HILL,23.3,34.0,11.0,0.0,89.4,166.1,2010,July,August,80
TORONTO CITY,23.9,34.2,12.3,,82.5,184.2,2010,July,August,80
TORONTO CITY CENTRE,22.2,32.8,11.6,,84.0,128.1,2010,July,August,80
TORONTO LESTER B. PEARSON INT'L A,23.3,34.1,10.4,0.0,89.6,164.9,2010,July,August,80
TORONTO EAST YORK DUSTAN,24.3,36.0,11.0,0.0,100.8,194.3,2010,July,August,80
TRENTON A,22.8,32.6,10.8,0.0,71.0,149.7,2010,July,August,80
WOOLER,22.8,33.5,9.5,0.0,80.6,151.7,2010,July,August,80
MOUNTAINVIEW,22.9,32.0,10.5,0.0,55.0,154.5,2010,July,August,80
TORONTO BUTTONVILLE A,23.0,34.7,9.9,0.0,76.6,157.0,2010,July,August,80
TORONTO NORTH YORK,23.2,34.5,8.5,0.0,100.4,163.7,2010,July,August,80
COE HILL,21.7,33.0,7.0,0.0,65.5,81.4,2010,July,August,80
HALIBURTON 3,20.2,32.0,4.5,0.0,117.0,83.5,2010,July,August,80
MINDEN,20.7,34.0,5.0,0.0,131.9,96.5,2010,July,August,80
PETERBOROUGH AWOS,21.5,33.4,8.1,,49.0,113.0,2010,July,August,80
PETERBOROUGH TRENT U,21.2,32.0,9.5,0.0,89.4,68.4,2010,July,August,80
PETERBOROUGH TRENT U,21.8,33.3,9.0,,88.5,124.8,2010,July,August,80
SONYA SUNDANCE MEADOWS,,,,0.0,85.0,,2010,July,August,80
TAPLEY,,,,0.0,76.2,,2010,July,August,80
BANCROFT AUTO,19.5,32.8,3.9,,58.8,50.1,2010,July,August,80
BIG TROUT LAKE READAC,8.7,23.7,-2.7,,79.0,0.0,2004,June,July,101
EAR FALLS (AUT),13.0,25.3,2.4,,56.2,0.0,2004,June,July,101
LANSDOWNE HOUSE (AUT),10.4,25.5,-0.9,,78.2,0.0,2004,June,July,101
PEAWANUCK (AUT),5.9,24.0,-2.8,,71.6,0.0,2004,June,July,101
PICKLE LAKE (AUT),11.7,23.6,2.5,,0.0,0.0,2004,June,July,101
PICKLE LAKE A,11.8,23.8,2.5,0.0,93.0,0.3,2004,June,July,101
RED LAKE A,12.8,27.5,2.3,0.0,50.0,0.8,2004,June,July,101
ATIKOKAN MARMION,13.8,26.0,1.5,0.0,80.8,1.0,2004,June,July,101
BARWICK,14.2,28.5,0.5,0.0,58.8,5.5,2004,June,July,101
ATIKOKAN (AUT),13.4,27.4,1.9,,52.2,0.4,2004,June,July,101
FORT FRANCES A,14.4,29.0,0.0,0.0,48.6,5.6,2004,June,July,101
MINE CENTRE,13.9,28.5,0.5,0.0,55.0,1.4,2004,June,July,101
STRATTON ROMYN,,,,0.0,42.8,,2004,June,July,101
DRYDEN A,13.7,29.0,2.7,0.0,89.8,4.2,2004,June,July,101
DRYDEN 'A' (AUT),14.0,29.0,2.7,,70.0,4.2,2004,June,July,101
KENORA A,14.0,28.7,3.0,0.0,60.6,5.5,2004,June,July,101
RAWSON LAKE,13.7,28.5,2.0,0.0,77.1,2.6,2004,June,July,101
SIOUX LOOKOUT A,13.6,25.8,4.3,0.0,107.8,2.2,2004,June,July,101
ARMSTRONG (AUT),11.3,25.9,-1.8,,,0.0,2004,June,July,101
CAMERON FALLS (AUT),12.8,25.9,1.3,,98.6,0.0,2004,June,July,101
GERALDTON A,12.5,24.0,0.2,0.0,70.6,0.0,2004,June,July,101
FLINT,13.1,25.5,-2.0,0.0,71.8,1.0,2004,June,July,101
PUKASKWA (AUT),10.1,22.1,1.9,,40.4,0.0,2004,June,July,101
PUKASKWA NATL PARK,10.1,22.1,1.9,,40.6,0.0,2004,June,July,101
TERRACE BAY A,10.9,22.1,-1.2,0.0,65.8,0.0,2004,June,July,101
TERRACE BAY(AUT),10.6,25.2,-1.2,,54.2,0.0,2004,June,July,101
THUNDER BAY A,13.2,26.7,0.8,,64.5,3.1,2004,June,July,101
THUNDER BAY AWOS,13.2,26.7,0.8,,66.0,3.1,2004,June,July,101
THUNDER BAY CS,13.4,26.7,1.2,,62.4,3.4,2004,June,July,101
TRANQUILLO RIDGE,13.6,26.1,-0.2,0.0,64.9,3.1,2004,June,July,101
UPSALA (AUT),12.8,26.0,0.4,,72.0,0.0,2004,June,July,101
WELCOME ISLAND (AUT),12.6,23.8,5.6,,,0.0,2004,June,July,101
WHITEFISH LAKE,12.8,25.0,-1.5,0.0,66.4,0.5,2004,June,July,101
KATATOTA ISLAND (AUT),10.3,20.1,2.1,,,0.0,2004,June,July,101
ELLIOT LAKE A,13.3,28.8,2.0,0.0,56.2,3.4,2004,June,July,101
SAULT STE MARIE A,13.0,27.8,0.4,,61.2,2.2,2004,June,July,101
WAWA (AUT),10.2,25.2,-1.0,,0.0,0.0,2004,June,July,101
WAWA A,10.5,25.4,-1.0,0.0,48.8,0.0,2004,June,July,101
KILLARNEY (AUT),14.0,23.7,7.3,,,1.6,2004,June,July,101
CHAPLEAU A,13.1,28.2,0.3,0.0,53.5,3.4,2004,June,July,101
MASSEY,14.4,28.5,0.5,0.0,60.8,6.1,2004,June,July,101
MONETVILLE,14.7,26.5,0.5,0.0,39.9,8.9,2004,June,July,101
SUDBURY A,14.8,29.4,3.4,0.0,66.0,7.8,2004,June,July,101
BONNER LAKE,13.6,31.0,-2.0,0.0,115.6,7.5,2004,June,July,101
EARLTON A,14.6,33.0,1.8,0.0,82.4,16.2,2004,June,July,101
KAPUSKASING A,13.2,30.3,-0.3,0.0,98.8,2.8,2004,June,July,101
KAPUSKASING CDA ON,13.1,29.0,-0.9,,110.4,5.0,2004,June,July,101
KIRKLAND LAKE CS,14.1,30.9,1.8,,89.0,12.2,2004,June,July,101
MOOSONEE UA,11.6,30.0,-2.5,0.2,117.8,7.1,2004,June,July,101
MOOSONEE A,11.0,29.9,-3.2,,95.5,6.6,2004,June,July,101
MOOSONEE RCS,11.1,30.0,-2.3,,113.4,5.9,2004,June,July,101
NAGAGAMI (AUT),12.2,27.8,-0.8,,78.0,0.4,2004,June,July,101
TIMMINS VICTOR POWER A,13.1,30.6,-1.2,0.0,83.7,5.6,2004,June,July,101
DWIGHT,14.4,30.0,0.5,0.0,57.0,9.6,2004,June,July,101
NORTH BAY A,14.8,25.5,3.4,0.0,62.0,7.7,2004,June,July,101
GORE BAY A,14.4,27.8,2.6,,36.0,3.6,2004,June,July,101
GREAT DUCK ISLAND (AUT),11.4,20.3,4.5,,0.0,0.0,2004,June,July,101
SANDFIELD,13.9,25.0,1.0,0.0,23.8,2.5,2004,June,July,101
ALEXANDRIA,16.2,29.1,2.6,,58.8,21.3,2004,June,July,101
ALFRED,15.5,29.2,2.7,,47.0,18.8,2004,June,July,101
APPLETON,16.9,30.0,4.5,0.0,62.4,27.8,2004,June,July,101
AVONMORE,17.2,29.5,4.0,0.0,81.8,30.0,2004,June,July,101
BROCKVILLE PCC,16.9,27.0,5.5,0.0,105.3,19.9,2004,June,July,101
CHALK RIVER AECL,16.0,32.5,2.5,0.0,84.0,18.7,2004,June,July,101
COMBERMERE,15.1,30.0,-1.0,0.0,67.5,10.0,2004,June,July,101
CORNWALL,18.2,30.0,7.0,0.0,61.8,43.4,2004,June,July,101
DALHOUSIE MILLS,16.8,30.0,3.5,0.0,89.6,29.8,2004,June,July,101
DRUMMOND CENTRE,16.6,30.0,4.0,0.0,66.8,25.4,2004,June,July,101
GRENADIER ISLAND,17.2,27.8,6.3,,74.4,21.2,2004,June,July,101
HARTINGTON IHD,16.3,29.5,5.0,0.0,51.4,19.1,2004,June,July,101
KEMPTVILLE CS,16.8,28.7,3.7,,85.4,26.9,2004,June,July,101
KINGSTON PUMPING STATION,17.2,29.0,6.0,0.0,46.4,25.1,2004,June,July,101
LYNDHURST SHAWMERE,16.9,28.0,6.0,0.0,82.6,25.0,2004,June,July,101
MOOSE CREEK WELLS,15.7,28.8,0.9,,63.4,16.6,2004,June,July,101
MORRISBURG,17.1,28.5,3.5,0.0,90.2,29.2,2004,June,July,101
NORTH GOWER,17.2,30.0,3.5,0.0,76.0,29.2,2004,June,July,101
OAK VALLEY,17.5,29.0,6.0,0.0,83.9,35.5,2004,June,July,101
OMPAH,15.3,29.0,0.0,0.0,106.2,18.7,2004,June,July,101
OMPAH-SEITZ,16.5,29.5,3.0,0.0,59.0,24.5,2004,June,July,101
OTTAWA CDA,17.6,30.5,6.4,0.0,75.2,34.5,2004,June,July,101
OTTAWA CDA RCS,17.4,30.3,6.4,,61.4,31.7,2004,June,July,101
OTTAWA MACDONALD-CARTIER INT'L  A,17.1,30.0,5.4,0.0,76.4,27.1,2004,June,July,101
PEMBROKE SE,16.4,32.0,2.5,0.0,39.4,22.6,2004,June,July,101
PETAWAWA A,14.8,32.8,0.3,,42.0,12.7,2004,June,July,101
RUSSELL,17.4,30.0,4.0,0.0,77.2,33.3,2004,June,July,101
ST. ALBERT,17.4,30.0,3.0,0.0,68.2,34.0,2004,June,July,101
WINCHESTER,16.3,28.2,4.2,,74.0,20.5,2004,June,July,101
PETAWAWA HOFFMAN,16.2,32.5,3.5,0.0,54.4,20.1,2004,June,July,101
ALLISTON NELSON,17.4,32.0,4.5,0.0,47.0,34.0,2004,June,July,101
BARRIE WPCC,16.7,32.0,5.0,0.0,43.3,23.6,2004,June,July,101
BEATRICE 2,14.4,30.0,-1.0,0.0,78.6,12.5,2004,June,July,101
BEAUSOLEIL,16.3,31.6,5.3,,65.8,18.7,2004,June,July,101
CHATSWORTH,15.6,31.0,0.5,0.0,70.2,19.8,2004,June,July,101
COLDWATER WARMINSTER,16.4,31.0,4.5,0.0,52.0,22.3,2004,June,July,101
COLLINGWOOD,16.7,32.5,3.8,,32.6,25.3,2004,June,July,101
COOKSTOWN,15.7,31.0,2.0,0.0,57.2,20.9,2004,June,July,101
DUNCHURCH,14.7,29.0,0.0,0.0,31.8,11.4,2004,June,July,101
HANOVER,16.0,29.0,0.5,0.0,79.6,21.2,2004,June,July,101
LAGOON CITY,16.2,24.7,6.1,,43.4,11.4,2004,June,July,101
MIDLAND WATER POLLUTION CONTROL PLANT,16.7,32.0,5.0,0.0,73.3,22.2,2004,June,July,101
MUSKOKA A,14.8,31.2,1.0,0.0,92.1,15.2,2004,June,July,101
ORILLIA BRAIN,16.9,32.5,5.5,0.0,61.2,25.5,2004,June,July,101
OWEN SOUND MOE,15.7,30.5,4.0,0.0,55.0,16.0,2004,June,July,101
PARRY SOUND CCG,15.9,28.0,4.9,,69.8,13.5,2004,June,July,101
PARRY SOUND HARBOUR,15.9,29.0,4.0,0.0,64.0,14.7,2004,June,July,101
PORT LAW,14.6,28.5,1.5,0.0,64.0,15.0,2004,June,July,101
POWASSAN,13.8,26.5,1.0,0.0,54.4,5.4,2004,June,July,101
PRICEVILLE,,,,0.0,64.6,,2004,June,July,101
ROCKLYN,14.9,29.0,1.0,0.0,67.1,17.4,2004,June,July,101
SHANTY BAY,16.0,31.5,3.5,0.0,44.0,19.3,2004,June,July,101
BARRIE-ORO,14.6,30.5,2.1,,50.2,11.6,2004,June,July,101
SPRUCEDALE,,,,0.0,65.4,,2004,June,July,101
TROUT CREEK,,,,0.0,40.4,,2004,June,July,101
UDORA,16.4,30.0,2.0,0.0,53.2,24.9,2004,June,July,101
WALTERS FALLS,15.8,30.0,3.0,0.0,45.6,20.6,2004,June,July,101
WIARTON A,14.6,29.6,3.3,0.0,72.5,9.6,2004,June,July,101
WILDER LAKE,15.5,30.0,2.0,0.0,76.6,19.6,2004,June,July,101
BORDEN AWOS,15.6,32.9,-0.2,,,25.2,2004,June,July,101
EGBERT CS,16.0,25.3,5.0,,34.0,4.7,2004,June,July,101
THORNBURY SLAMA,15.7,31.5,2.5,0.0,48.2,17.1,2004,June,July,101
EGBERT CARE,16.0,30.5,3.0,0.0,55.3,22.1,2004,June,July,101
BLYTH,16.1,30.0,3.5,0.0,75.7,19.5,2004,June,July,101
CYPRUS LAKE CS,14.1,26.9,0.0,,29.8,4.0,2004,June,July,101
COVE ISLAND (AUT),12.3,23.2,6.4,,0.0,0.0,2004,June,July,101
EXETER,17.6,30.5,5.0,0.0,64.2,32.9,2004,June,July,101
GODERICH,16.2,28.5,4.3,,88.0,21.8,2004,June,July,101
KINCARDINE,17.1,30.0,3.0,0.0,84.4,28.3,2004,June,July,101
PETROLIA TOWN,18.3,31.5,6.0,0.0,66.2,46.3,2004,June,July,101
SARNIA AIRPORT,17.1,31.0,5.5,0.0,75.7,30.3,2004,June,July,101
SOUTHAMPTON 2,15.8,31.5,2.5,0.0,57.4,18.9,2004,June,July,101
TARA,15.8,30.0,3.0,0.0,62.0,17.2,2004,June,July,101
WROXETER,,,,0.0,80.6,,2004,June,July,101
THEDFORD,17.5,32.0,3.0,0.0,68.2,33.8,2004,June,July,101
AMHERSTBURG,19.8,32.0,8.0,0.0,100.4,72.6,2004,June,July,101
BELLE RIVER,19.5,32.6,10.6,,,63.7,2004,June,July,101
CHATHAM WPCP,19.0,33.0,8.0,0.0,59.0,55.2,2004,June,July,101
DELHI CS,17.4,30.7,4.3,,59.2,36.1,2004,June,July,101
FORT ERIE,17.4,29.0,4.0,0.0,37.2,30.7,2004,June,July,101
HAGERSVILLE,18.1,31.5,5.0,0.0,39.8,44.2,2004,June,July,101
HARROW CDA AUTO,19.3,31.2,7.3,,73.4,64.1,2004,June,July,101
KINGSVILLE MOE,19.2,29.0,8.5,0.0,44.3,55.8,2004,June,July,101
NEW GLASGOW,18.0,29.5,5.5,0.0,140.0,40.3,2004,June,July,101
NIAGARA FALLS NPCSH,17.3,31.0,6.0,0.0,43.8,32.7,2004,June,July,101
PORT COLBORNE,17.9,27.5,6.5,0.0,37.6,36.9,2004,June,July,101
PORT WELLER (AUT),17.4,28.1,9.7,,126.8,26.3,2004,June,July,101
RIDGETOWN RCS,18.3,32.8,5.5,,98.0,50.5,2004,June,July,101
RIDGEVILLE,17.6,29.5,6.0,0.0,60.7,35.3,2004,June,July,101
ST CATHARINES POWER GLEN,18.0,31.5,4.5,0.0,60.6,41.6,2004,June,July,101
ST THOMAS WPCP,17.7,29.5,4.5,0.0,103.2,37.3,2004,June,July,101
SOUTHEAST SHOAL (AUT),19.7,27.8,12.5,,,54.4,2004,June,July,101
TILLSONBURG NORTH,17.6,31.0,4.0,0.0,64.8,39.5,2004,June,July,101
TILLSONBURG MOE,,,,0.0,63.1,,2004,June,July,101
VINELAND,18.3,31.0,8.0,0.0,71.0,44.7,2004,June,July,101
VINELAND STATION RCS,17.8,31.3,7.0,,72.6,41.6,2004,June,July,101
WATERFORD,,,,0.0,41.2,,2004,June,July,101
WELLAND,17.8,30.0,5.0,0.0,46.1,42.0,2004,June,July,101
WINDSOR RIVERSIDE,20.0,34.5,7.5,0.0,77.0,77.0,2004,June,July,101
WINDSOR A,19.4,31.9,8.8,0.0,95.4,62.0,2004,June,July,101
ERIEAU (AUT),17.5,24.6,10.4,,,18.6,2004,June,July,101
POINT PELEE CS,13.7,21.2,4.3,,15.4,0.0,2004,June,July,101
BRANTFORD MOE,16.7,31.0,3.5,0.0,46.1,23.2,2004,June,July,101
CULLODEN EASEY,17.4,31.0,5.0,0.0,86.5,33.0,2004,June,July,101
DORCHESTER,,,,0.0,78.8,,2004,June,July,101
ELORA RCS,15.9,29.9,3.9,,63.8,18.0,2004,June,July,101
FERGUS SHAND DAM,16.4,29.5,5.0,0.0,92.6,22.5,2004,June,July,101
FERGUS MOE,15.7,29.5,4.0,0.0,105.6,15.7,2004,June,July,101
FOLDENS,17.2,30.0,5.0,0.0,57.4,30.5,2004,June,July,101
GLEN ALLAN,16.8,31.0,4.5,0.0,98.2,24.9,2004,June,July,101
GUELPH TURFGRASS CS,13.4,28.8,-0.9,,43.6,10.2,2004,June,July,101
LONDON CS,17.1,30.4,5.0,,109.6,27.3,2004,June,July,101
MOUNT FOREST (AUT),15.8,29.7,3.2,,54.6,15.7,2004,June,July,101
ROSEVILLE,16.8,30.0,4.5,0.0,83.9,21.2,2004,June,July,101
RUSKVIEW,16.0,29.5,3.5,0.0,56.8,20.8,2004,June,July,101
SALEM,16.0,30.5,4.5,0.0,113.5,18.2,2004,June,July,101
SCOTLAND,17.1,31.0,3.5,0.0,55.2,34.0,2004,June,July,101
STRATFORD MOE,16.9,31.0,4.0,0.0,77.4,29.6,2004,June,July,101
STRATHROY-MULLIFARRY,17.7,31.5,5.0,0.0,126.2,36.4,2004,June,July,101
REGION OF WATERLOO INT'L AIRPORT,15.5,29.8,2.5,,60.5,16.3,2004,June,July,101
ALBERTON,17.0,32.0,4.5,0.0,53.4,33.1,2004,June,July,101
AURORA NE,,,,0.0,59.0,,2004,June,July,101
BELLEVILLE,17.7,27.5,8.0,0.0,45.5,30.0,2004,June,July,101
BLACKSTOCK,16.1,29.5,4.0,0.0,131.1,20.0,2004,June,July,101
BLOOMFIELD,,,,0.0,52.4,,2004,June,July,101
BURLINGTON PIERS (AUT),17.4,30.6,9.9,,,30.6,2004,June,July,101
CENTREVILLE,16.9,29.5,5.0,0.0,48.4,24.8,2004,June,July,101
COBOURG (AUT),14.8,24.4,6.0,,86.0,5.1,2004,June,July,101
COBOURG STP,15.5,27.0,5.0,0.0,106.2,13.1,2004,June,July,101
FRENCHMANS BAY,,,,0.0,66.6,,2004,June,July,101
GEORGETOWN WWTP,16.3,32.5,2.0,0.0,42.2,26.8,2004,June,July,101
HAMILTON A,17.0,30.8,5.3,0.0,68.0,29.2,2004,June,July,101
HAMILTON RBG CS,17.2,32.2,4.4,,74.2,36.4,2004,June,July,101
JANETVILLE,16.0,29.5,2.5,0.0,79.7,19.5,2004,June,July,101
KALADAR,16.6,29.5,5.0,0.0,83.2,22.8,2004,June,July,101
MADOC,16.3,29.5,4.5,0.0,57.4,17.9,2004,June,July,101
MILLGROVE,17.1,32.0,5.0,0.0,92.4,33.0,2004,June,July,101
ORANGEVILLE MOE,15.8,30.0,2.0,0.0,57.5,22.4,2004,June,July,101
WHITBY MUELLER,16.3,29.0,5.0,0.0,81.2,20.1,2004,June,July,101
OSHAWA WPCP,16.1,27.0,6.0,0.0,72.0,15.6,2004,June,July,101
OAKVILLE GERARD,18.0,33.6,6.6,0.0,56.1,41.0,2004,June,July,101
POINT PETRE (AUT),15.1,23.5,6.1,,9.2,3.4,2004,June,July,101
PORT PERRY NONQUON,16.6,31.0,5.0,0.0,96.0,23.8,2004,June,July,101
RICHMOND HILL,17.4,32.0,6.0,0.0,45.6,31.9,2004,June,July,101
SANDHILL,,,,0.0,67.2,,2004,June,July,101
SANDFORD SOLETUDE,15.8,31.0,0.5,0.0,58.2,21.7,2004,June,July,101
STIRLING,,,,0.0,35.5,,2004,June,July,101
THORNHILL GRANDVIEW,,,,0.0,78.4,,2004,June,July,101
TORONTO CITY,18.0,32.7,9.6,,44.6,33.3,2004,June,July,101
TORONTO ISLAND A,16.7,32.0,8.1,,46.0,17.5,2004,June,July,101
TORONTO LESTER B. PEARSON INT'L A,17.6,31.8,6.6,0.0,62.8,31.6,2004,June,July,101
TRENTON A,16.6,29.2,5.5,0.0,54.2,21.0,2004,June,July,101
WOODBRIDGE,17.6,32.0,5.5,0.0,70.5,35.1,2004,June,July,101
WOOLER,16.7,29.5,4.0,0.0,47.2,24.3,2004,June,July,101
MOUNTAINVIEW,16.8,28.5,5.0,0.0,51.8,21.1,2004,June,July,101
TORONTO BUTTONVILLE A,17.0,32.3,5.7,0.0,53.4,26.1,2004,June,July,101
TORONTO NORTH YORK,17.1,31.5,5.0,0.0,79.2,29.4,2004,June,July,101
HALIBURTON 3,15.2,29.0,0.5,0.0,62.8,17.1,2004,June,July,101
HARTLEY,16.0,30.0,3.0,0.0,55.6,21.1,2004,June,July,101
MINDEN,15.4,31.0,1.0,0.0,87.4,12.4,2004,June,July,101
PETERBOROUGH A,15.2,30.0,2.4,0.0,60.6,13.3,2004,June,July,101
PETERBOROUGH TRENT U,16.0,29.5,2.5,0.0,53.1,19.2,2004,June,July,101
SONYA SUNDANCE MEADOWS,,,,0.0,64.2,,2004,June,July,101
BANCROFT AUTO,14.2,29.5,0.0,,66.6,13.4,2004,June,July,101
WARSAW,,,,0.0,51.8,,2004,June,July,101
BIG TROUT LAKE READAC,12.4,28.9,-0.5,,49.5,6.0,2010,June,July,166
EAR FALLS (AUT),14.3,26.5,2.5,,83.1,0.3,2010,June,July,166
FORT SEVERN A,7.6,29.6,-2.5,,,3.6,2010,June,July,166
LANSDOWNE HOUSE (AUT),13.2,27.8,0.9,,31.0,5.5,2010,June,July,166
"MUSKRAT DAM 'A', ONTARIO",13.7,28.1,2.5,,,5.3,2010,June,July,166
PEAWANUCK (AUT),8.5,29.7,-3.6,,22.9,2.9,2010,June,July,166
PICKLE LAKE (AUT),14.6,28.8,4.5,,31.4,10.7,2010,June,July,166
PICKLE LAKE A,14.8,29.2,4.4,0.0,37.6,11.8,2010,June,July,166
RED LAKE A,14.7,27.3,2.7,0.0,118.0,3.7,2010,June,July,166
SANDY LAKE,13.8,28.7,3.3,,,4.9,2010,June,July,166
BARWICK,15.7,26.0,2.0,0.0,115.4,8.4,2010,June,July,166
ATIKOKAN (AUT),14.9,26.4,3.0,,76.6,4.8,2010,June,July,166
FORT FRANCES RCS,15.4,26.0,2.2,,82.0,7.5,2010,June,July,166
FORT FRANCES A,15.1,26.0,1.0,0.0,155.8,5.0,2010,June,July,166
MINE CENTRE SOUTHWEST,15.0,25.5,2.0,0.0,112.4,5.8,2010,June,July,166
DRYDEN 'A' (AUT),15.5,26.2,4.8,,97.5,6.1,2010,June,July,166
KENORA RCS,15.7,25.5,6.2,,74.4,8.7,2010,June,July,166
KENORA A,15.9,25.1,6.5,0.0,96.3,11.0,2010,June,July,166
RAWSON LAKE,15.7,26.0,6.0,0.0,89.0,5.6,2010,June,July,166
SIOUX LOOKOUT A,15.5,26.3,5.5,0.0,93.2,6.8,2010,June,July,166
ARMSTRONG (AUT),13.3,27.4,-1.1,,76.2,4.2,2010,June,July,166
CAMERON FALLS (AUT),14.4,26.7,2.5,,103.3,2.0,2010,June,July,166
CARIBOU ISLAND (AUT),11.5,20.1,6.0,,55.6,0.0,2010,June,July,166
GERALDTON A,14.4,27.0,0.4,0.0,93.9,7.6,2010,June,July,166
FLINT,14.3,27.5,-0.5,0.0,108.7,4.1,2010,June,July,166
PUKASKWA (AUT),13.0,25.0,2.1,,55.2,1.0,2010,June,July,166
STURGEON RIVER,15.2,26.0,3.5,0.0,91.4,12.2,2010,June,July,166
THUNDER BAY AWOS,14.4,27.7,1.0,,83.0,3.0,2010,June,July,166
THUNDER BAY BURWOOD,15.6,27.7,4.0,0.0,107.2,7.5,2010,June,July,166
THUNDER BAY CS,14.3,27.5,1.2,,103.2,2.8,2010,June,July,166
UPSALA (AUT),13.8,26.0,0.7,,83.2,3.2,2010,June,July,166
WELCOME ISLAND (AUT),13.1,20.7,7.1,,54.2,0.0,2010,June,July,166
LITTLE FLATLAND ISLAND (AUT),14.8,25.8,6.5,,54.8,3.9,2010,June,July,166
ELLIOT LAKE A,15.9,26.3,5.0,0.0,138.0,10.2,2010,June,July,166
SAULT STE MARIE A,15.4,27.2,3.2,0.0,157.7,5.3,2010,June,July,166
WAWA A,14.1,25.1,0.0,0.0,78.4,2.8,2010,June,July,166
KILLARNEY (AUT),15.9,25.4,6.4,,73.4,6.2,2010,June,July,166
CHAPLEAU A,14.5,26.5,1.3,0.0,62.5,3.3,2010,June,July,166
MASSEY,15.9,27.5,2.0,0.0,116.8,11.1,2010,June,July,166
MONETVILLE,16.3,27.0,1.5,0.0,117.9,14.9,2010,June,July,166
SUDBURY A,16.0,28.7,3.8,0.0,87.7,9.1,2010,June,July,166
BONNER LAKE,14.0,29.5,-1.0,0.0,60.3,8.2,2010,June,July,166
EARLTON AWOS,14.8,28.3,3.4,,80.0,6.6,2010,June,July,166
EARLTON CLIMATE,14.7,27.9,3.5,,100.9,6.8,2010,June,July,166
KAPUSKASING A,13.8,28.6,0.2,0.0,50.3,8.7,2010,June,July,166
KAPUSKASING CDA ON,13.5,28.7,-0.6,,51.7,9.1,2010,June,July,166
KIRKLAND LAKE CS,14.5,28.7,2.9,,38.5,4.4,2010,June,July,166
MOOSONEE UA,11.4,31.0,-3.5,0.0,24.8,5.6,2010,June,July,166
MOOSONEE AWOS,10.4,31.0,-3.9,,29.0,1.3,2010,June,July,166
MOOSONEE RCS,10.7,30.8,-3.4,,16.7,1.7,2010,June,July,166
NAGAGAMI (AUT),13.5,28.5,-0.4,,63.9,8.0,2010,June,July,166
TIMMINS CLIMATE,13.4,28.3,-1.8,,58.7,1.3,2010,June,July,166
TIMMINS VICTOR POWER A,14.0,28.4,-0.8,,,2.5,2010,June,July,166
ALGONQUIN PARK EAST GATE,14.8,29.0,2.0,,116.9,6.8,2010,June,July,166
NORTH BAY A,15.9,25.7,4.2,0.0,97.2,7.1,2010,June,July,166
GORE BAY  AWOS,16.3,26.9,5.3,,127.5,10.6,2010,June,July,166
SANDFIELD,15.8,26.0,3.5,0.0,144.0,8.4,2010,June,July,166
APPLETON,17.5,29.0,6.5,0.0,104.6,26.1,2010,June,July,166
BROCKVILLE CLIMATE,17.4,28.2,7.2,,143.4,29.2,2010,June,July,166
BROCKVILLE PCC,18.4,27.0,8.5,0.0,155.8,42.3,2010,June,July,166
CHALK RIVER AECL,17.3,29.0,6.5,0.0,73.6,18.0,2010,June,July,166
