Stn_Name,Tm,Tx,Tn,S,P,CDD,Year,Month
BLUE RIVER A,11.0,29.2,-4.2,,,0.0,2025,May
BLUE RIVER CS,10.8,26.5,-4.3,,55.1,0.0,2025,May
CLEARWATER AUTO,13.0,29.6,-1.0,,39.5,1.4,2025,May
CLINTON A,8.5,28.2,-6.1,,30.7,0.0,2025,May
CLINTON RCS,10.0,29.0,-3.1,,9.4,0.2,2025,May
KAMLOOPS A,15.9,35.9,0.1,0.0,13.2,22.6,2025,May
KAMLOOPS AUT,15.7,34.6,0.3,,10.9,18.1,2025,May
RED LAKE,10.1,28.0,-1.0,0.0,44.0,1.0,2025,May
VAVENBY,13.6,33.5,-2.0,0.0,30.6,7.6,2025,May
KAMLOOPS PRATT ROAD,13.7,32.0,0.5,0.0,39.2,7.8,2025,May
SALMON ARM CS,13.8,31.2,-0.4,,42.7,3.4,2025,May
GOLDEN A,12.2,30.5,-1.5,0.0,38.4,1.3,2025,May
GOLDEN A,12.1,30.6,-2.2,,,1.2,2025,May
GOLDEN AIRPORT,12.2,30.3,-2.1,,34.0,1.2,2025,May
MICA DAM,12.6,23.0,0.0,0.0,85.0,0.0,2025,May
REVELSTOKE A,13.1,29.6,-1.1,,54.3,0.6,2025,May
REVELSTOKE AIRPORT AUTO,13.5,29.6,0.0,,47.4,1.8,2025,May
YOHO PARK,7.8,27.3,-5.4,,67.4,0.0,2025,May
CHETWYND A,10.8,30.5,-2.5,0.0,12.0,0.0,2025,May
CHETWYND A,10.8,30.6,-2.4,,,0.0,2025,May
DAWSON CREEK A,11.6,31.9,-3.7,,0.0,2.3,2025,May
FORT ST. JOHN A,12.1,31.2,-1.3,0.0,16.8,2.2,2025,May
FORT ST JOHN AIRPORT,12.2,30.4,-2.1,,9.9,2.2,2025,May
MACKENZIE,9.8,29.1,-3.0,,24.0,0.3,2025,May
MACKENZIE AIRPORT AUTO,10.2,29.4,-2.7,,32.8,0.8,2025,May
DEASE LAKE A,6.6,19.6,-4.1,,0.0,0.0,2025,May
FORT NELSON A,11.8,30.6,-2.5,0.0,5.8,1.3,2025,May
FORT NELSON,12.3,31.2,-0.4,,7.1,2.2,2025,May
DEASE LAKE (AUT),6.4,19.7,-5.3,,12.3,0.0,2025,May
BEAVER CREEK A,6.1,16.1,-7.6,,,0.0,2025,May
BURWASH A,5.2,15.5,-9.6,,37.0,0.0,2025,May
BURWASH AIRPORT AUTO,5.2,15.2,-9.4,,46.7,0.0,2025,May
CARMACKS CS,7.2,19.6,-6.0,,24.4,0.0,2025,May
DAWSON CITY A,8.0,20.0,-5.7,,,0.0,2025,May
FARO (AUT),7.3,16.8,-4.8,,8.6,0.0,2025,May
FARO A,7.3,16.6,-4.8,,,0.0,2025,May
HAINES JUNCTION,4.9,15.0,-7.1,,,0.0,2025,May
HERSCHEL ISLAND,-6.6,1.8,-18.6,,5.1,0.0,2025,May
IVVAVIK NAT. PARK,-1.2,15.7,-19.3,,10.7,0.0,2025,May
MACMILLAN PASS,2.3,11.5,-7.9,,,0.0,2025,May
MARGARET LAKE,-0.8,15.5,-19.2,,8.3,0.0,2025,May
MAYO A,7.8,18.8,-2.3,0.0,37.6,0.0,2025,May
MAYO A,7.7,18.8,-2.3,,,0.0,2025,May
OLD CROW RCS,1.8,18.2,-13.0,,4.7,0.0,2025,May
OLD CROW A,1.4,18.5,-13.8,,,0.0,2025,May
OTTER FALLS NCPC,5.9,15.0,-4.0,0.0,17.6,0.0,2025,May
